,title,rating,date_added,duration
306,Logan's Run,PG,1-Nov-19,118 min
307,Love Jacked,PG-13,1-Feb-20,94 min
308,Loving,PG-13,16-Nov-20,124 min
309,Lu Over the Wall,PG,18-Mar-20,113 min
310,Lupin the 3rd: The Castle of Cagliostro: Special Edition,PG-13,15-May-18,100 min
311,Mad Money,PG-13,1-Nov-19,99 min
312,Madagascar: Escape 2 Africa,PG,1-May-20,91 min
313,Manglehorn,PG-13,16-Apr-17,97 min
314,Mansfield Park,PG-13,1-Jan-20,112 min
315,Marvel Super Hero Adventures: Frost Fight!,PG,24-Feb-16,74 min
316,Marvel's Hulk: Where Monsters Dwell,PG,4-Jan-17,75 min
317,Marvel's Iron Man & Hulk: Heroes United,PG,16-Feb-14,72 min
318,Mary and the Witch's Flower,PG,17-Jul-18,103 min
319,Mary Poppins Returns,PG,9-Jul-19,131 min
320,Mean Girls 2,PG-13,1-Jan-21,98 min
321,Men in Black,PG-13,19-Oct-19,98 min
322,Men in Black II,PG-13,1-Oct-19,88 min
323,Menashe,PG,25-Jan-20,82 min
324,Middle School: The Worst Years of My Life,PG,3-Mar-19,92 min
325,Midnight Special,PG-13,7-Sep-20,112 min
326,Miracle,PG,1-Jun-18,136 min
327,Mirai,PG,1-Jun-20,98 min
328,Mirror Mirror,PG,24-Apr-20,106 min
329,Miss Hokusai,PG-13,1-Oct-17,90 min
330,Miss Julie,PG-13,2-Sep-15,130 min
331,Modest Heroes: Ponoc Short Films Theatre,PG,22-May-20,54 min
332,Mona Lisa Smile,PG-13,1-Jan-19,119 min
333,Monkey Up,PG,19-Mar-16,83 min
334,Monster Family,PG,4-Apr-18,93 min
335,Monster House,PG,1-Dec-20,91 min
336,Monster-in-Law,PG-13,1-Jan-20,101 min
337,Monty Python and the Holy Grail,PG,2-Jan-19,92 min
338,Mountain,PG,1-Oct-18,74 min
339,Mowgli: Legend of the Jungle,PG-13,7-Dec-18,105 min
340,Mr. Church,PG-13,22-Dec-18,105 min
341,Mr. Deeds,PG-13,1-Aug-20,97 min
342,Mr. Peabody & Sherman,PG,11-Aug-20,93 min
343,Mr. Woodcock,PG-13,1-Sep-19,88 min
344,Mubarakan,PG-13,5-Nov-17,153 min
345,Mud,PG-13,1-Jan-21,131 min
346,Mune: Guardian of the Moon,PG,26-Jan-18,85 min
347,Muppets Most Wanted,PG,1-Sep-20,110 min
348,Murder Mystery,PG-13,14-Jun-19,98 min
349,My Entire High School Sinking Into the Sea,PG-13,23-Jan-18,77 min
350,My Girl,PG-13,1-Jan-20,102 min
351,My Life as a Zucchini,PG-13,1-Oct-17,68 min
352,My Perfect Romance,PG,1-May-18,92 min
353,My Sister's Keeper,PG-13,1-Sep-19,109 min
354,Nacho Libre,PG,1-Nov-19,92 min
355,National Lampoon's Loaded Weapon 1,PG-13,1-Nov-19,82 min
356,National Treasure,PG,1-Jun-18,131 min
357,New York Minute,PG,1-Jan-20,91 min
358,Next,PG-13,1-Jul-19,96 min
359,Nights in Rodanthe,PG-13,1-Jul-19,97 min
360,No Reservations,PG,1-Oct-19,104 min
361,Nothing to Lose,PG,20-Jul-18,133 min
362,Nothing to Lose 2,PG-13,7-Dec-19,97 min
363,November Criminals,PG-13,3-Jul-20,86 min
364,Now and Then,PG-13,2-Aug-19,102 min
365,Océans,G,19-Sep-19,84 min
366,Ocean's Thirteen,PG-13,1-Oct-19,122 min
367,Ocean's Twelve,PG-13,1-Oct-19,125 min
368,Okko's Inn,PG,12-Jun-20,96 min
369,Once Upon a Time in the West,PG-13,20-Nov-19,166 min
370,One Direction: This Is Us,PG,1-Oct-19,92 min
371,Open Season,PG,1-Sep-19,86 min
372,Our House,PG-13,1-Jun-20,90 min
373,Over the Moon,PG,23-Oct-20,100 min
374,P.S. I Love You,PG-13,1-Apr-19,126 min
375,Pachamama,PG,7-Jun-19,71 min
376,Pad Man,PG-13,21-Aug-18,130 min
377,ParaNorman,PG,18-Oct-20,93 min
378,Paul Blart: Mall Cop,PG,1-Nov-20,91 min
379,Penelope,PG,1-Apr-19,89 min
380,Penguins of Madagascar: The Movie,PG,15-Jan-21,92 min
381,Peter Rabbit,PG,18-Aug-18,95 min
382,Phantom Boy,PG,1-Oct-17,85 min
383,Philadelphia,PG-13,1-Jul-19,126 min
384,Planet 51,PG,23-Jan-19,91 min
385,Playing for Keeps,PG-13,3-Jan-21,106 min
386,Polaroid,PG-13,9-Feb-20,88 min
387,Pope Francis: A Man of His Word,PG,3-Jan-19,96 min
388,Popeye,PG,24-Nov-19,114 min
389,Poseidon,PG-13,1-Sep-19,98 min
390,Poster Boys,PG-13,27-Nov-17,128 min
391,Pottersville,PG-13,15-Dec-17,86 min
392,Prom Night,PG-13,12-Nov-20,88 min
393,Pup Star,G,29-Oct-16,92 min
394,Pup Star: Better 2Gether,PG,28-Oct-17,93 min
395,Pup Star: World Tour,G,5-May-18,87 min
396,Puppy Star Christmas,PG,20-Nov-18,91 min
397,Puss in Boots,PG,1-Sep-20,92 min
398,Quantum of Solace,PG-13,31-Aug-20,106 min
399,Quartet,PG-13,11-May-20,98 min
400,Queen of the Desert,PG-13,6-Apr-19,128 min
401,Quigley Down Under,PG-13,1-Dec-20,120 min
402,R.L. Stine's Mostly Ghostly,PG,1-Aug-18,98 min
403,Race to Witch Mountain,PG,1-Jul-19,99 min
404,Ralph Breaks the Internet: Wreck-It Ralph 2,PG,11-Jun-19,113 min
405,Rango,PG,28-Dec-20,110 min
406,Real Steel,PG-13,24-Sep-20,127 min
407,Rebecca,PG-13,21-Oct-20,123 min
408,Rebel Without a Cause,PG-13,1-Nov-19,111 min
409,Red Dawn,PG-13,31-Dec-19,114 min
410,Remember Me,PG-13,1-Aug-20,112 min
411,Rememory,PG-13,1-Jun-20,112 min
412,Ride Like a Girl,PG,27-Jun-20,99 min
413,Rising Phoenix,PG-13,26-Aug-20,107 min
414,Rize,PG-13,1-Oct-20,87 min
415,Rocky,PG,1-Aug-19,120 min
416,Rocky II,PG,1-Aug-19,119 min
417,Rocky III,PG,1-Aug-19,100 min
418,Rocky IV,PG,1-Aug-19,92 min
419,Rocky V,PG-13,1-Aug-19,104 min
420,Roped,PG,2-May-20,90 min
421,Rugrats in Paris: The Movie,G,1-Oct-19,79 min
422,Rumor Has It,PG-13,1-Aug-19,97 min
423,Runaway Bride,PG,1-Dec-20,116 min
424,Russell Madness,PG,10-May-15,93 min
425,S.W.A.T.,PG-13,1-Jan-21,117 min
426,Same Kind of Different as Me,PG-13,17-Aug-18,119 min
427,Samson,PG-13,14-Dec-18,109 min
428,Sarah's Key,PG-13,21-Sep-19,102 min
429,Saving Mr. Banks,PG-13,2-Mar-19,126 min
430,Scales: Mermaids Are Real,PG,23-Jan-20,93 min
431,Scary Movie 5,PG-13,12-Aug-20,88 min
432,Scorpion King 5: Book of Souls,PG-13,23-Oct-18,102 min
433,Scott Pilgrim vs. the World,PG-13,16-Sep-18,112 min
434,Searching for Bobby Fischer,PG,7-Dec-20,110 min
435,Searching for Sugar Man,PG-13,1-Dec-19,86 min
436,Season of the Witch,PG-13,26-Apr-19,95 min
437,Secret in Their Eyes,PG-13,1-Apr-18,111 min
438,Selfless,PG-13,16-Aug-19,117 min
439,Senna,PG-13,1-Oct-19,106 min
440,Septembers of Shiraz,PG-13,24-Aug-20,110 min
441,Seven in Heaven,PG-13,6-Oct-18,94 min
442,Seven Pounds,PG-13,1-Dec-18,123 min
443,Seventh Son,PG-13,16-Aug-20,102 min
444,Shark Night,PG-13,2-Nov-19,91 min
445,Sherlock Holmes,PG-13,1-Jan-21,128 min
446,Shorts,PG,1-Jul-19,89 min
447,Sierra Burgess Is A Loser,PG-13,7-Sep-18,106 min
448,Singularity,PG-13,1-Jun-18,92 min
449,Skiptrace,PG-13,4-Jul-19,107 min
450,Skyline,PG-13,16-Jan-19,94 min
451,Sleepover,PG,1-Mar-20,89 min
452,Small Soldiers,PG-13,1-Jun-19,110 min
453,SMOSH: The Movie,PG-13,22-Sep-15,83 min
454,Snow Day,PG,1-Jan-20,89 min
455,Solo: A Star Wars Story,PG-13,9-Jan-19,135 min
456,Solo: A Star Wars Story (Spanish Version),PG-13,9-Jan-19,135 min
457,Something's Gotta Give,PG-13,1-Aug-19,128 min
458,Soul Surfer,PG,17-May-20,106 min
459,Space Cowboys,PG-13,1-Aug-19,130 min
460,Sparkle,PG,1-Nov-19,98 min
461,Speech & Debate,PG-13,6-Jul-17,96 min
462,SPF-18,PG-13,30-Oct-17,75 min
463,Spider-Man 3,PG-13,1-Nov-19,139 min
464,Spider-Man: Into the Spider-Verse,PG,26-Jun-19,117 min
465,Spookley the Square Pumpkin,G,1-Sep-19,47 min
466,Spy Kids,PG,1-Apr-19,88 min
467,Spy Kids 2: The Island of Lost Dreams,PG,8-Mar-19,100 min
468,Spy Kids 3: Game Over,PG,1-Apr-19,83 min
469,Spy Kids: All the Time in the World,PG,19-Feb-19,88 min
470,Star Wars: Episode VIII: The Last Jedi,PG-13,26-Jun-18,152 min
471,Stardust,PG-13,1-Jul-20,128 min
472,Starsky & Hutch,PG-13,1-Jul-19,101 min
473,Step Sisters,PG-13,19-Jan-18,108 min
474,Stonehearst Asylum,PG-13,8-Sep-17,113 min
475,Strange but True,PG-13,30-Aug-20,96 min
476,Stranger than Fiction,PG-13,1-Oct-20,113 min
477,Strictly Ballroom,PG,1-Jan-20,95 min
478,Stuart Little,PG,1-Jan-20,85 min
479,Stuart Little 2,PG,1-Jan-20,78 min
480,Suffragette,PG-13,16-Nov-19,107 min
481,Sunday's Illness,PG-13,15-Jun-18,113 min
482,Superman Returns,PG-13,1-Oct-19,154 min
483,Superstar,PG-13,20-Nov-19,82 min
484,Surf's Up,PG,1-Jan-21,86 min
485,Sweetheart,PG-13,25-Dec-19,83 min
486,Taare Zameen Par,PG,10-Jan-21,162 min
487,Takers,PG-13,3-Nov-19,107 min
488,Tarzan,G,23-Jun-18,89 min
489,Tarzan 2,G,23-Jun-17,72 min
490,Teenage Mutant Ninja Turtles,PG,1-May-19,87 min
491,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,1-Jan-20,88 min
492,Teenage Mutant Ninja Turtles: The Movie,PG,1-Jan-20,94 min
493,Terminator Salvation,PG-13,1-Jan-20,115 min
494,The Adventures of Sharkboy and Lavagirl,PG,2-Dec-20,93 min
495,The Adventures of Tintin,PG,20-Nov-19,107 min
496,The American President,PG-13,1-Jan-21,113 min
497,The Angry Birds Movie 2,PG,27-Feb-20,97 min
498,The Artist,PG-13,25-Apr-20,101 min
499,The Black Prince,PG-13,3-Oct-18,121 min
500,The Bounty Hunter,PG-13,1-Oct-19,111 min
501,The Box,PG-13,1-Jun-19,116 min
502,The Boy,PG-13,1-Jun-20,97 min
503,The Boy in the Striped Pajamas,PG-13,1-Jan-19,95 min
